chave,Data e horario completo,t_0,s1,s2,s3,s4,s5,s6,experimento
4964,2015-09-10 16:34:30.526615,1441913670.521929,90.6038,41.5633,71.4887,41.666000000000004,68.24059999999999,45.92360000000001,
4965,2015-09-10 16:34:40.520337,1441913680.516339,90.9963,41.9103,71.14779999999999,41.868,68.24059999999999,45.468700000000005,
4966,2015-09-10 16:34:51.443091,1441913691.438227,90.6038,41.9103,70.8069,41.868,67.8684,45.92360000000001,
4967,2015-09-10 16:35:01.436890,1441913701.432386,89.0338,41.5633,70.8069,41.666000000000004,67.8684,45.92360000000001,
4968,2015-09-10 16:35:12.434729,1441913712.430555,89.81880000000001,41.9103,71.4887,41.26200000000001,67.8684,45.468700000000005,
4969,2015-09-10 16:35:22.419360,1441913722.415222,88.2488,41.5633,70.8069,41.26200000000001,67.8684,45.92360000000001,
4970,2015-09-10 16:35:33.358228,1441913733.353798,88.2488,41.2163,70.8069,40.858000000000004,67.49619999999999,45.468700000000005,
4971,2015-09-10 16:35:43.350291,1441913743.345715,88.2488,41.9103,70.12509999999999,41.06,67.124,45.0138,
4972,2015-09-10 16:35:54.364245,1441913754.359938,87.07130000000001,41.5633,70.12509999999999,41.06,67.124,45.468700000000005,
4973,2015-09-10 16:36:04.355628,1441913764.350656,87.07130000000001,40.869299999999996,70.12509999999999,40.656,67.124,45.468700000000005,
4974,2015-09-10 16:36:15.374243,1441913775.369912,87.07130000000001,40.869299999999996,70.466,40.454,66.75179999999999,45.0138,
4975,2015-09-10 16:36:25.369991,1441913785.365405,87.4638,41.2163,70.466,40.454,66.3796,45.0138,
4976,2015-09-10 16:36:36.375423,1441913796.371126,86.2863,40.5223,70.12509999999999,40.252,66.3796,45.0138,
4977,2015-09-10 16:36:46.370240,1441913806.365946,86.67880000000001,40.869299999999996,70.12509999999999,40.252,66.3796,44.55890000000001,
4978,2015-09-10 16:36:57.326561,1441913817.321817,85.1088,40.869299999999996,69.7842,40.454,66.00739999999999,44.55890000000001,
4979,2015-09-10 16:37:07.323769,1441913827.318482,85.8938,40.869299999999996,69.7842,40.252,65.6352,44.104000000000006,
4980,2015-09-10 16:37:18.232928,1441913838.227863,85.5013,40.869299999999996,69.10239999999999,40.050000000000004,65.6352,44.55890000000001,
4981,2015-09-10 16:37:28.232931,1441913848.228191,84.3238,40.1753,69.10239999999999,40.050000000000004,65.6352,44.55890000000001,
4982,2015-09-10 16:37:39.155635,1441913859.150826,85.1088,40.1753,69.4433,39.646,65.26299999999999,44.104000000000006,
4983,2015-09-10 16:37:49.152462,1441913869.147466,84.7163,40.5223,68.7615,40.050000000000004,64.89079999999998,44.55890000000001,
4984,2015-09-10 16:38:00.157226,1441913880.152588,83.53880000000001,40.1753,68.4206,40.050000000000004,64.89079999999998,45.0138,
4985,2015-09-10 16:38:10.165898,1441913890.161012,83.53880000000001,40.5223,68.7615,39.444,64.51859999999999,44.104000000000006,
4986,2015-09-10 16:38:21.137866,1441913901.133187,82.7538,40.869299999999996,68.7615,39.444,64.51859999999999,43.649100000000004,
4987,2015-09-10 16:38:31.135426,1441913911.130551,82.3613,40.1753,69.10239999999999,39.242000000000004,64.51859999999999,43.1942,
4988,2015-09-10 16:38:42.099028,1441913922.094185,83.1463,40.1753,68.7615,39.04,64.51859999999999,42.73930000000001,
4989,2015-09-10 16:38:52.105348,1441913932.100775,82.7538,40.1753,68.4206,39.04,64.14639999999999,43.1942,
4990,2015-09-10 16:39:03.211148,1441913943.206542,81.5763,39.4813,68.4206,39.04,64.14639999999999,43.649100000000004,
4991,2015-09-10 16:39:13.206043,1441913953.201434,82.3613,39.8283,68.07969999999999,39.04,63.7742,43.1942,
4992,2015-09-10 16:39:24.173988,1441913964.168772,81.1838,39.4813,68.07969999999999,38.636,64.14639999999999,43.649100000000004,
4993,2015-09-10 16:39:34.167989,1441913974.163417,80.7913,39.4813,68.07969999999999,38.636,63.7742,43.649100000000004,
4994,2015-09-10 16:39:45.064986,1441913985.059352,80.7913,39.4813,67.39789999999999,38.636,63.401999999999994,43.649100000000004,
4995,2015-09-10 16:39:55.060187,1441913995.055675,81.1838,39.4813,67.05699999999999,38.838,63.401999999999994,43.649100000000004,
4996,2015-09-10 16:40:06.029585,1441914006.024949,81.1838,39.8283,66.7161,39.242000000000004,63.0298,44.104000000000006,
4997,2015-09-10 16:40:16.037765,1441914016.033145,80.7913,39.8283,66.37519999999999,39.04,62.657599999999995,44.104000000000006,
4998,2015-09-10 16:40:26.979578,1441914026.975025,79.6138,39.4813,66.0343,39.04,62.657599999999995,43.649100000000004,
4999,2015-09-10 16:40:36.980738,1441914036.975854,80.39880000000001,39.134299999999996,66.0343,39.04,62.657599999999995,43.1942,
5000,2015-09-10 16:40:48.002724,1441914047.997699,80.0063,39.134299999999996,65.6934,39.04,62.2854,43.1942,
5001,2015-09-10 16:40:58.011920,1441914058.006476,79.6138,39.8283,65.35249999999999,39.242000000000004,62.2854,43.1942,
5002,2015-09-10 16:41:09.039030,1441914069.034302,79.2213,39.8283,65.6934,38.838,62.2854,43.1942,
5003,2015-09-10 16:41:19.044607,1441914079.039778,78.4363,39.8283,65.35249999999999,39.04,62.2854,43.1942,
5004,2015-09-10 16:41:29.949711,1441914089.944623,78.8288,38.7873,65.0116,38.838,62.2854,42.73930000000001,
5005,2015-09-10 16:41:39.953085,1441914099.948226,78.4363,39.4813,65.0116,38.838,61.913199999999996,43.1942,
5006,2015-09-10 16:41:50.893374,1441914110.88816,78.4363,39.134299999999996,64.6707,38.838,61.541000000000004,43.1942,
5007,2015-09-10 16:42:00.906430,1441914120.90099,76.86630000000001,39.134299999999996,64.32979999999999,38.838,61.913199999999996,43.1942,
5008,2015-09-10 16:42:11.802073,1441914131.797231,77.25880000000001,38.4403,64.32979999999999,38.636,61.541000000000004,43.1942,
5009,2015-09-10 16:42:21.816450,1441914141.810901,78.0438,39.4813,64.6707,38.636,61.1688,43.1942,
5010,2015-09-10 16:42:32.771590,1441914152.766699,77.6513,38.7873,64.6707,38.434000000000005,61.1688,42.73930000000001,
5011,2015-09-10 16:42:42.782089,1441914162.777187,76.4738,38.4403,63.9889,38.636,61.1688,42.73930000000001,
5012,2015-09-10 16:42:53.674906,1441914173.669518,76.4738,38.4403,64.32979999999999,38.232,60.79659999999999,42.73930000000001,
5013,2015-09-10 16:43:03.688839,1441914183.68324,76.86630000000001,38.7873,63.9889,38.434000000000005,60.79659999999999,42.73930000000001,
5014,2015-09-10 16:43:14.667844,1441914194.663027,76.86630000000001,38.7873,63.9889,38.636,60.79659999999999,42.73930000000001,
5015,2015-09-10 16:43:24.690219,1441914204.685002,76.4738,38.7873,63.647999999999996,38.434000000000005,60.4244,43.1942,
5016,2015-09-10 16:43:35.653191,1441914215.647696,75.6888,38.7873,63.30709999999999,38.434000000000005,60.4244,42.73930000000001,
5017,2015-09-10 16:43:45.670864,1441914225.665257,75.6888,37.7463,63.647999999999996,38.03,60.4244,42.73930000000001,
5018,2015-09-10 16:43:56.607570,1441914236.602231,75.2963,37.7463,63.30709999999999,38.03,60.4244,42.284400000000005,
5019,2015-09-10 16:44:06.617077,1441914246.612109,75.2963,38.0933,63.30709999999999,38.03,60.05219999999999,42.284400000000005,
5020,2015-09-10 16:44:17.505935,1441914257.500809,75.6888,38.4403,63.30709999999999,38.232,59.68,42.284400000000005,
5021,2015-09-10 16:44:27.522144,1441914267.516899,74.9038,38.7873,62.625299999999996,38.434000000000005,59.68,42.284400000000005,
5022,2015-09-10 16:44:38.461814,1441914278.456649,74.11880000000001,38.4403,62.28439999999999,38.232,59.68,42.73930000000001,
5023,2015-09-10 16:44:48.483720,1441914288.478148,74.9038,38.4403,62.28439999999999,38.434000000000005,59.68,42.284400000000005,
5024,2015-09-10 16:44:59.456381,1441914299.450809,73.3338,37.7463,62.28439999999999,38.03,59.68,42.284400000000005,
5025,2015-09-10 16:45:09.484781,1441914309.478849,73.72630000000001,37.3993,62.625299999999996,37.626000000000005,59.68,42.284400000000005,
5026,2015-09-10 16:45:20.466728,1441914320.461628,73.3338,37.3993,62.28439999999999,37.626000000000005,59.68,41.8295,
5027,2015-09-10 16:45:30.493950,1441914330.488192,72.9413,37.3993,62.625299999999996,37.424,59.30779999999999,41.8295,
