Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3476	2015-09-10 11:49:33.618777	1441896573.62	295.4888	116.8623	241.9387	154.988	280.0224	116.4331	None	
3477	2015-09-10 11:49:54.500840	1441896594.5	295.4888	111.6573	241.2569	163.27	284.861	122.8017	None	
3478	2015-09-10 11:50:04.894164	1441896604.89	295.0963	118.9443	241.9387	154.18	279.278	118.7076	None	
3479	2015-09-10 11:50:15.336869	1441896615.33	297.0588	117.5563	241.2569	160.24	281.5112	116.4331	None	
3480	2015-09-10 11:50:25.367323	1441896625.36	294.7038	115.8213	241.5978	162.462	283.3722	116.888	None	
3481	2015-09-10 11:50:36.250570	1441896636.25	293.9188	115.1273	241.5978	163.068	282.6278	116.4331	None	
3482	2015-09-10 11:50:46.653386	1441896646.64	294.3113	116.1683	240.916	162.462	280.0224	119.6174	None	
3483	2015-09-10 11:50:57.086449	1441896657.08	295.8813	119.6383	241.5978	154.584	277.7892	119.6174	None	
3484	2015-09-10 11:51:17.913092	1441896677.91	294.7038	115.4743	241.5978	163.674	281.139	125.986	None	
3485	2015-09-10 11:51:38.749287	1441896698.75	296.6663	118.2503	241.2569	161.856	278.1614	120.9821	None	
3486	2015-09-10 11:51:59.586905	1441896719.58	294.7038	124.1493	241.5978	154.18	277.7892	120.5272	None	
3487	2015-09-10 11:52:20.442116	1441896740.44	293.5263	116.1683	241.2569	164.078	278.1614	125.0762	None	
3488	2015-09-10 11:52:41.291964	1441896761.29	296.2738	121.3733	240.916	160.442	276.6726	120.9821	None	
3489	2015-09-10 11:53:02.238383	1441896782.23	295.0963	122.4143	241.2569	157.816	276.6726	124.6213	None	
3490	2015-09-10 11:53:23.175143	1441896803.17	293.1338	126.5783	241.5978	155.594	277.0448	123.2566	None	
3491	2015-09-10 11:53:44.129511	1441896824.13	291.9563	121.3733	241.2569	164.28	283.3722	128.2605	None	
3492	2015-09-10 11:54:04.919157	1441896844.92	293.1338	123.8023	240.5751	162.26	280.7668	129.1703	None	
3493	2015-09-10 11:54:25.652556	1441896865.65	293.5263	125.1903	241.2569	159.23	280.7668	124.1664	None	
3494	2015-09-10 11:54:46.360394	1441896886.36	292.3488	122.4143	241.2569	155.594	279.278	125.986	None	
3495	2015-09-10 11:55:07.117647	1441896907.11	291.5638	120.3323	241.5978	157.21	279.6502	128.7154	None	
3496	2015-09-10 11:55:27.831451	1441896927.83	293.9188	124.4963	241.2569	157.008	277.417	125.0762	None	
3497	2015-09-10 11:55:37.803487	1441896937.8	295.4888	122.0673	240.916	163.472	277.7892	128.7154	None	
3498	2015-09-10 11:55:48.579356	1441896948.58	297.0588	121.7203	240.916	159.836	276.6726	129.1703	None	
3499	2015-09-10 11:56:09.292420	1441896969.29	291.9563	119.9853	241.9387	157.614	275.9282	130.535	None	
3500	2015-09-10 11:56:30.003206	1441896990.0	293.5263	121.7203	241.5978	160.24	277.0448	126.8958	None	
3501	2015-09-10 11:56:50.686921	1441897010.68	291.5638	128.6603	241.9387	157.412	275.9282	129.1703	None	
3502	2015-09-10 11:57:00.666636	1441897020.66	294.7038	126.9253	241.2569	164.28	276.3004	126.8958	None	
3503	2015-09-10 11:57:11.396662	1441897031.39	293.5263	123.8023	240.916	165.29	276.3004	127.8056	None	
3504	2015-09-10 11:57:32.213871	1441897052.21	295.4888	123.4553	240.5751	164.886	275.556	137.3585	None	
3505	2015-09-10 11:57:52.951724	1441897072.95	293.1338	126.5783	240.916	166.906	274.8116	146.0016	None	
3506	2015-09-10 11:58:13.706386	1441897093.7	293.1338	126.5783	240.916	164.886	274.0672	138.7232	None	
3507	2015-09-10 11:58:34.504484	1441897114.5	289.9938	129.7013	241.9387	159.23	275.1838	133.7193	None	
3508	2015-09-10 11:58:55.311617	1441897135.31	289.9938	128.6603	241.9387	158.624	276.6726	127.8056	None	
3509	2015-09-10 11:59:05.295106	1441897145.29	291.5638	125.1903	241.5978	158.826	276.3004	128.7154	None	
3510	2015-09-10 11:59:16.101733	1441897156.1	291.9563	119.9853	241.2569	167.714	279.278	130.0801	None	
3511	2015-09-10 11:59:26.091878	1441897166.09	291.9563	124.8433	241.5978	159.23	275.9282	127.3507	None	
3512	2015-09-10 11:59:36.817150	1441897176.81	291.9563	124.8433	241.5978	158.826	275.1838	126.8958	None	
3513	2015-09-10 11:59:57.576643	1441897197.57	292.7413	125.5373	240.916	164.28	276.3004	123.7115	None	
3514	2015-09-10 12:00:07.568702	1441897207.56	290.3863	119.6383	240.916	167.916	278.9058	129.6252	None	
3515	2015-09-10 12:00:18.311876	1441897218.31	289.9938	125.8843	241.2569	158.22	276.3004	127.3507	None	
3516	2015-09-10 12:00:39.136444	1441897239.12	291.9563	124.8433	241.5978	158.422	276.3004	126.4409	None	
3517	2015-09-10 12:00:49.121129	1441897249.12	291.9563	125.5373	241.5978	160.846	275.556	126.4409	None	
3518	2015-09-10 12:00:59.917026	1441897259.91	291.1713	122.4143	241.2569	168.118	277.0448	130.535	None	
3519	2015-09-10 12:01:20.639665	1441897280.63	289.2088	123.8023	241.5978	159.432	275.556	126.8958	None	
3520	2015-09-10 12:01:30.637463	1441897290.63	289.2088	122.7613	241.5978	167.714	275.9282	126.8958	None	
3521	2015-09-10 12:01:41.368052	1441897301.36	289.2088	128.6603	241.9387	159.634	274.4394	127.3507	None	
3522	2015-09-10 12:01:51.357934	1441897311.35	290.7788	124.8433	241.5978	161.25	274.8116	127.8056	None	
3523	2015-09-10 12:02:02.148613	1441897322.14	289.2088	122.4143	241.5978	164.078	274.8116	132.8095	None	
3524	2015-09-10 12:02:12.140087	1441897332.14	288.4238	123.1083	241.9387	161.452	274.4394	132.8095	None	
3525	2015-09-10 12:02:22.906967	1441897342.9	288.8163	120.3323	241.5978	168.724	277.7892	130.9899	None	
3526	2015-09-10 12:02:32.893197	1441897352.89	289.9938	126.5783	241.5978	161.25	275.9282	130.0801	None	
3527	2015-09-10 12:02:43.647536	1441897363.64	291.5638	123.8023	241.2569	166.704	275.1838	130.0801	None	
3528	2015-09-10 12:02:53.649646	1441897373.65	289.9938	121.3733	241.5978	168.926	276.3004	131.4448	None	
3529	2015-09-10 12:03:04.397843	1441897384.39	289.6013	124.1493	241.5978	163.472	274.8116	126.8958	None	
3530	2015-09-10 12:03:14.387040	1441897394.38	288.4238	124.8433	241.9387	161.452	273.695	128.2605	None	
3531	2015-09-10 12:03:25.340956	1441897405.34	289.2088	121.3733	241.5978	168.926	275.556	129.1703	None	
3532	2015-09-10 12:03:35.387215	1441897415.38	289.9938	122.0673	241.5978	168.724	274.8116	127.3507	None	
3533	2015-09-10 12:03:46.077717	1441897426.07	288.4238	122.7613	241.5978	166.906	275.556	131.8997	None	
3534	2015-09-10 12:03:56.068412	1441897436.06	289.9938	122.0673	241.5978	168.118	275.1838	129.1703	None	
3535	2015-09-10 12:04:06.868995	1441897446.86	289.9938	124.1493	241.5978	162.26	274.8116	131.4448	None	
3536	2015-09-10 12:04:16.867921	1441897456.86	289.9938	124.1493	241.2569	164.482	275.1838	131.8997	None	
3537	2015-09-10 12:04:27.669619	1441897467.67	289.9938	122.0673	241.2569	168.522	275.556	134.6291	None	
3538	2015-09-10 12:04:37.665280	1441897477.66	289.9938	123.8023	241.2569	166.906	275.1838	133.2644	None	
3539	2015-09-10 12:04:48.480594	1441897488.48	293.1338	121.7203	240.916	165.29	274.8116	125.986	None	
3540	2015-09-10 12:04:58.475439	1441897498.47	290.7788	124.8433	241.2569	159.836	275.1838	127.8056	None	
3541	2015-09-10 12:05:09.271396	1441897509.27	292.3488	120.6793	240.916	168.724	275.9282	132.8095	None	
3542	2015-09-10 12:05:19.266255	1441897519.26	290.3863	121.7203	241.2569	168.724	275.1838	132.3546	None	
3543	2015-09-10 12:05:30.057173	1441897530.05	291.1713	122.4143	241.2569	169.128	275.556	133.7193	None	
3544	2015-09-10 12:05:40.055392	1441897540.05	289.6013	127.2723	241.9387	159.634	274.0672	134.1742	None	
3545	2015-09-10 12:05:50.818324	1441897550.81	289.6013	126.9253	241.9387	161.452	275.556	135.5389	None	
3546	2015-09-10 12:06:00.824805	1441897560.82	289.9938	129.7013	241.9387	159.23	275.1838	135.5389	None	
3547	2015-09-10 12:06:11.539156	1441897571.53	288.8163	127.9663	241.5978	162.058	275.1838	137.3585	None	
3548	2015-09-10 12:06:21.543916	1441897581.54	289.9938	126.9253	241.5978	165.29	275.1838	134.1742	None	
